"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.891984391E0,5.551352501E-1,9.040489197E-1,1.265031576E0,1.650994998E0
1.901994161E0,1.141063571E0,6.820716858E-1,9.304565787E-1,1.622651319E0
1.912003776E0,1.974528909E0,1.262788773E-1,6.600614190E-1,2.085759297E0
1.921983084E0,2.595278263E0,-8.756523132E-1,1.502373934E0,3.123998027E0
1.931992930E0,2.042280912E0,-1.669764519E0,1.909619570E0,3.256635039E0
1.942002776E0,4.148457646E-1,-2.358629704E0,6.709429026E-1,2.487045529E0
1.951981930E0,-1.074224472E0,-2.976262093E0,3.792261183E-1,3.186833336E0
1.961991699E0,2.209933996E0,-3.935665607E0,-5.418144464E-1,4.546079073E0
1.972001545E0,1.811551332E0,-6.276485443E0,1.335297585E0,6.667758798E0
1.981980699E0,4.693799973E0,-6.590563774E0,1.995420933E0,8.333606287E0
1.991990468E0,5.449297428E0,-4.329294682E0,2.321115494E0,7.336566774E0
2.002000315E0,3.873462200E0,-1.211775780E0,2.159935236E0,4.597546104E0
2.011979468E0,9.333109260E-1,3.113117218E0,6.102443933E-1,3.306806060E0
2.021989238E0,-1.942998171E0,5.674204826E0,-1.748021483E0,6.247193082E0
2.031999084E0,-1.679304838E0,5.332736969E0,-2.726764202E0,6.220401220E0
2.042008699E0,1.973677278E-1,6.255721092E0,-5.994945526E0,8.666739425E0
2.051988007E0,-3.320338011E0,8.968263626E0,-4.957276821E0,1.077167538E1
2.061997853E0,-6.708773613E0,9.012265205E0,-5.140309334E0,1.235521540E1
2.072007469E0,-7.330260277E0,6.690587997E0,-4.803836823E0,1.102603880E1
2.081986853E0,-4.535820484E0,2.664109230E0,-2.321290016E0,5.749741976E0
2.091996623E0,-2.423040390E0,9.919548035E-2,-8.616870642E-1,2.573610124E0
2.102006238E0,-1.003955126E0,-1.632302761E0,6.219661236E-2,1.917343636E0
2.111985546E0,-7.178497314E-2,-2.687410355E0,6.797580719E-1,2.772976475E0
2.121995392E0,5.568909645E-1,-3.183706760E0,1.191370726E0,3.444630675E0
2.132005238E0,1.401995659E0,-3.150991917E0,-6.837339401E-1,3.515939986E0
2.141984392E0,1.575737000E0,-2.061931133E0,-3.899845600E0,4.684367918E0
2.151994161E0,1.704885840E0,-5.497531891E-1,-3.864751816E0,4.259714884E0
2.162003777E0,1.845542669E0,4.380350113E-1,1.255025268E0,2.274420990E0
2.171983084E0,6.025983095E-1,9.936609268E-1,5.079476357E0,5.210716536E0
2.181992930E0,-7.411354780E-1,1.459496498E0,7.158465862E0,7.343231259E0
2.192002546E0,-1.232508063E0,1.497312546E0,7.208389759E0,7.464710571E0
2.201981930E0,-1.482330680E0,1.226263046E0,5.641852379E0,5.960832456E0
2.211991777E0,-1.913429379E0,9.117603302E-1,3.684069633E0,4.250280927E0
2.222001546E0,-2.241869211E0,4.737911224E-1,2.028224945E0,3.060090197E0
2.231980700E0,-2.063219070E0,-8.478641510E-2,1.191480756E0,2.384048670E0
2.241990469E0,-1.426303625E0,-3.630495071E-1,8.465034962E-1,1.697856044E0
2.252000315E0,-8.175691962E-1,-3.593854904E-1,5.101982355E-1,1.028532722E0
2.261979469E0,-3.828955889E-1,-1.935729980E-1,1.316752434E-1,4.487960642E-1
2.271989315E0,3.189873695E-2,5.933952332E-2,-2.043423653E-1,2.151615920E-1
2.281999085E0,2.555529475E-1,2.038555145E-1,-3.527216911E-1,4.809126440E-1
2.292008700E0,2.569845319E-1,2.932901382E-1,-2.878911495E-1,4.847076116E-1
2.301988008E0,3.558397293E-3,3.837976456E-1,-1.282482147E-1,4.046738187E-1
2.311997854E0,-2.840104103E-1,4.573850632E-1,-1.564302444E-1,5.606544663E-1
2.322007469E0,-3.847856522E-1,5.027370453E-1,-3.996083736E-1,7.486597272E-1
2.331986854E0,-4.005457163E-1,5.415468216E-1,-7.172341347E-1,9.839383287E-1
